ResponseId,MainBranch,Age,Employment,RemoteWork,Check,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,TechDoc,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,BuyNewTool,BuildvsBuy,TechEndorse,Country,Currency,CompTotal,LanguageHaveWorkedWith,LanguageWantToWorkWith,LanguageAdmired,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,DatabaseAdmired,PlatformHaveWorkedWith,PlatformWantToWorkWith,PlatformAdmired,WebframeHaveWorkedWith,WebframeWantToWorkWith,WebframeAdmired,EmbeddedHaveWorkedWith,EmbeddedWantToWorkWith,EmbeddedAdmired,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,MiscTechAdmired,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,ToolsTechAdmired,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,NEWCollabToolsAdmired,OpSysPersonal use,OpSysProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackAsyncAdmired,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,OfficeStackSyncAdmired,AISearchDevHaveWorkedWith,AISearchDevWantToWorkWith,AISearchDevAdmired,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOHow,SOComm,AISelect,AISent,AIBen,AIAcc,AIComplex,AIToolCurrently Using,AIToolInterested in Using,AIToolNot interested in Using,AINextMuch more integrated,AINextNo change,AINextMore integrated,AINextLess integrated,AINextMuch less integrated,AIThreat,AIEthics,AIChallenges,TBranch,ICorPM,WorkExp,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Knowledge_8,Knowledge_9,Frequency_1,Frequency_2,Frequency_3,TimeSearching,TimeAnswering,Frustration,ProfessionalTech,ProfessionalCloud,ProfessionalQuestion,Industry,JobSatPoints_1,JobSatPoints_4,JobSatPoints_5,JobSatPoints_6,JobSatPoints_7,JobSatPoints_8,JobSatPoints_9,JobSatPoints_10,JobSatPoints_11,SurveyLength,SurveyEase,ConvertedCompYearly,JobSat,ExperienceRange,JobSatRange
941,I am a developer by profession,25-34 years old,"Employed, full-time",Hybrid,Apples,Bootstrapping a business,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Colleague;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Online Courses or Certification","Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow;How-to videos;Auditory material (e.g., podcasts)",API document(s) and/or SDK document(s);User guides or README files found in the source repository;AI-powered search/dev tool (paid),13,8.0,"Developer, full-stack",20 to 99 employees,I have some influence,Start a free trial;Visit developer communities like Stack Overflow,Is set up to be customized and needs to be engineered into a usable product,Customization;Integrated developer community;Connected to an open source project,United States of America,USD	United States dollar,126000.0,Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Objective-C;PHP;PowerShell;Python;R;Ruby;Rust;SQL;TypeScript,Bash/Shell (all shells);Go;Rust;TypeScript,Bash/Shell (all shells);Go;Rust;TypeScript,MariaDB;MongoDB;MySQL,Cassandra;Elasticsearch;InfluxDB;SQLite,,Amazon Web Services (AWS);Digital Ocean;Microsoft Azure,Cloudflare,,Angular;AngularJS;Spring Boot,Htmx,,,,,Spring Framework,,,Docker;Maven (build tool),Docker,Docker,Eclipse;Notepad++;Visual Studio Code,CLion;Visual Studio Code,Visual Studio Code,Android;iPadOS;Ubuntu;Windows;Windows Subsystem for Linux (WSL),iOS;Windows;Windows Subsystem for Linux (WSL),Azure Devops,Obsidian;Stack Overflow for Teams,,Microsoft Teams,,,ChatGPT;GitHub Copilot,ChatGPT;GitHub Copilot,ChatGPT;GitHub Copilot,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,Less than once per month or monthly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers,"Yes, somewhat",Yes,Favorable,Increase productivity,Somewhat distrust,Bad at handling complex tasks,Writing code;Debugging and getting help;Search for answers;Generating content or synthetic data,Documenting code;Other (please specify):,Learning about a codebase;Project planning;Testing code;Committing and reviewing code;Deployment and monitoring;Predictive analytics,,,Writing code;Debugging and getting help;Search for answers;Generating content or synthetic data,,,No,Missing or incorrect attribution for sources of data;Biased results that do not represent diverse viewpoints,Don’t trust the output or answers;Lack of proper training and education on new tools;We don’t have the right policies in place to reduce security risks,Yes,Individual contributor,8.0,Agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,3-5 times a week,3-5 times a week,3-5 times a week,30-60 minutes a day,15-30 minutes a day,Amount of technical debt;Complexity of tech stack for deployment;Complexity of tech stack for build;Maintaining security of code being produced;Maintaining security of systems/platforms used in work;Reliability of tools/systems used in work,None of these,On-prem,A coworker,Manufacturing,15.0,8.0,11.0,10.0,15.0,15.0,15.0,1.0,10.0,Appropriate in length,Neither easy nor difficult,126000.0,3,5-10,1-3
20544,I am a developer by profession,45-54 years old,"Employed, full-time",Remote,Apples,Hobby;Professional development or self-paced learning from online courses,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;On the job training;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Online Courses or Certification","Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow;Coding sessions (live or recorded);Social Media;How-to videos;Interactive tutorial;Written-based Online Courses;Certification videos;Online challenges (e.g., daily or weekly coding challenges)",API document(s) and/or SDK document(s);User guides or README files found in the source repository;First-party knowledge base;Traditional public search engine,40,33.0,"Developer, mobile",10 to 19 employees,I have a great deal of influence,Start a free trial;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit,Is ready-to-go but also customizable for growth and targeted use cases,APIs;Customization;Integrated developer community;Quality support system;Reputation for quality and excellence;Frequent updates to features,United Kingdom of Great Britain and Northern Ireland,GBP	Pound sterling,60000.0,Dart;JavaScript;Python;Ruby,Dart;TypeScript,Dart,Cloud Firestore;Dynamodb,Cloud Firestore;Dynamodb,Cloud Firestore;Dynamodb,Amazon Web Services (AWS);Firebase;Google Cloud,Amazon Web Services (AWS);Firebase;Google Cloud,Amazon Web Services (AWS);Firebase;Google Cloud,Node.js,Node.js,Node.js,,,,Flutter,Flutter,Flutter,Gradle;npm;Terraform,Gradle;npm;Terraform,Gradle;npm;Terraform,Visual Studio Code;Xcode,Visual Studio Code,Visual Studio Code,Android;MacOS;Windows,Android;iOS;MacOS,Confluence;Jira;Markdown File;Trello,Confluence;Jira;Markdown File;Trello,Confluence;Jira;Markdown File;Trello,Google Meet;Microsoft Teams;Signal;Zoom,Google Meet;Microsoft Teams;Signal;Slack;Zoom,Google Meet;Microsoft Teams;Signal;Zoom,,,,Stack Overflow;Stack Exchange;Stack Overflow Blog or Podcast,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,Quickly finding code solutions,"Yes, somewhat","No, and I don't plan to",,,,,,,,,,,,,,,,Yes,Individual contributor,30.0,Neither agree nor disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Never,1-2 times a week,Never,15-30 minutes a day,15-30 minutes a day,None of these,DevOps function;Automated testing;Observability tools;Knowledge sharing community;Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,Software Development,0.0,0.0,0.0,30.0,10.0,10.0,50.0,0.0,0.0,Appropriate in length,Neither easy nor difficult,76433.0,10,>20,7-10
55373,"I am not primarily a developer, but I write code sometimes as part of my work/studies",18-24 years old,"Student, full-time",Hybrid,Apples,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Online Courses or Certification",Coding sessions (live or recorded);How-to videos;Video-based Online Courses;Written-based Online Courses,,2,,Academic researcher,,,,,,Viet Nam,,,C#;HTML/CSS;Java;JavaScript;TypeScript,Go;Kotlin;Python;Rust;Scala;Solidity,,Firebase Realtime Database;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL,Elasticsearch;Oracle;Redis,,Firebase;Vercel,Amazon Web Services (AWS);Cloudflare;Digital Ocean,,ASP.NET;ASP.NET CORE;Express;Next.js;Node.js;React;Spring Boot,WordPress,,Arduino,Rasberry Pi,,.NET (5+) ,Apache Kafka;OpenGL;RabbitMQ;React Native;Spring Framework,,Gradle;Maven (build tool);MSBuild;npm;NuGet;pnpm;Visual Studio Solution;Vite;Webpack,Docker;Godot;Unity 3D;Unreal Engine,,Code::Blocks;Eclipse;Visual Studio;Visual Studio Code,Android Studio;IntelliJ IDEA;Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,Android;Windows,,Clickup;Jira;Notion;Obsidian;Trello,,,Discord;Google Meet,,,ChatGPT;Codeium;Google Gemini,,,Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Engage with community by commenting on questions and answers or voting on questions and answers,"Yes, somewhat",Yes,Very favorable,Increase productivity,Neither trust nor distrust,"Good, but not great at handling complex tasks",Writing code;Deployment and monitoring,Debugging and getting help,Testing code,Writing code;Deployment and monitoring,,,,,I'm not sure,Biased results that do not represent diverse viewpoints,Lack of executive buy-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Too long,Difficult,,6,,7-10
15286,I am a developer by profession,25-34 years old,"Employed, full-time;Student, part-time",In-person,Apples,Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc)","Books;Coding sessions (live or recorded);Social Media;Online challenges (e.g., daily or weekly coding challenges)",,5,,Academic researcher,20 to 99 employees,I have little or no influence,Start a free trial;Visit developer communities like Stack Overflow,Out-of-the-box is ready to go with little need for customization,APIs;Customization;Integrated developer community;Connected to an open source project,Bangladesh,BDT	Bangladeshi taka,240000.0,Java;Python;SQL,Java;Python;SQL,Java;Python;SQL,H2;MySQL;PostgreSQL;SQLite,H2;PostgreSQL,H2;PostgreSQL,,,,jQuery;Spring Boot,React;Spring Boot,Spring Boot,,,,NumPy;Opencv;Spring Framework;TensorFlow,NumPy;Opencv;Spring Framework;TensorFlow,NumPy;Opencv;Spring Framework;TensorFlow,Maven (build tool),Maven (build tool),Maven (build tool),Eclipse;Visual Studio Code,Android Studio;Eclipse;IntelliJ IDEA;Jupyter Notebook/JupyterLab;Notepad++;Visual Studio Code,Eclipse;Visual Studio Code,Windows;Windows Subsystem for Linux (WSL),Windows;Windows Subsystem for Linux (WSL),,,,Skype;Zoom,Skype;Zoom,Skype;Zoom,Google Gemini;OpenAI Codex,Google Gemini;OpenAI Codex,Google Gemini;OpenAI Codex,Stack Overflow,A few times per month or weekly,Yes,A few times per month or weekly,Learning new-to-everyone technology/techniques,Neutral,Yes,Favorable,Increase productivity;Greater efficiency;Improve collaboration;Speed up learning;Improve accuracy in coding;Make workload more manageable,Neither trust nor distrust,Bad at handling complex tasks,Debugging and getting help;Testing code;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Search for answers;Generating content or synthetic data,Learning about a codebase;Project planning;Writing code;Documenting code,,,,,Debugging and getting help;Testing code;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Search for answers;Generating content or synthetic data,,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Replacing jobs without options for new employment opportunities;Biased results that do not represent diverse viewpoints;Imitating a person's likeness;Energy demand,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;Not everyone uses them;We don’t have the right policies in place to reduce security risks",Yes,Individual contributor,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,1-2 times a week,10+ times a week,10+ times a week,15-30 minutes a day,15-30 minutes a day,Amount of technical debt;Number of software tools in use;Complexity of tech stack for deployment;Complexity of tech stack for build,DevOps function;AI-assisted technology tool(s);Microservices;Developer portal or other central places to find tools/services;Innersource initiative,On-prem,A coworker,Software Development,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Appropriate in length,Easy,2039.0,3,,1-3
60073,I am a developer by profession,25-34 years old,"Employed, full-time",Remote,Apples,Hobby;Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","On the job training;Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification",Technical documentation;Blogs;Stack Overflow;Certification videos,API document(s) and/or SDK document(s);User guides or README files found in the source repository;First-party knowledge base;Traditional public search engine,14,10.0,"Developer, full-stack",100 to 499 employees,I have little or no influence,,Is ready-to-go but also customizable for growth and targeted use cases,APIs;Customization;Integrated developer community,United States of America,USD	United States dollar,140000.0,C#;JavaScript;TypeScript,C#;JavaScript;TypeScript,C#;JavaScript;TypeScript,Microsoft SQL Server;Supabase,Supabase,Supabase,Microsoft Azure;Vercel,Microsoft Azure;Vercel,Microsoft Azure;Vercel,ASP.NET;ASP.NET CORE;React,ASP.NET CORE;React,ASP.NET CORE;React,,,,.NET (5+) ;.NET Framework (1.0 - 4.8),.NET (5+) ,.NET (5+) ,MSBuild;NuGet;Visual Studio Solution;Vite,Visual Studio Solution;Vite,Visual Studio Solution;Vite,Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,MacOS;Windows,Windows,Azure Devops;Jira;Obsidian,Azure Devops;Jira;Obsidian,Azure Devops;Jira;Obsidian,Microsoft Teams,,,,,,Stack Overflow;Stack Exchange,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Learning new-to-me technology/techniques;Learning new-to-everyone technology/techniques,"Yes, somewhat","No, but I plan to soon",Indifferent,,,,,,,,,,,,No,Circulating misinformation or disinformation;Imitating a person's likeness,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5-10,7-10
4703,I am a developer by profession,45-54 years old,"Employed, full-time",Hybrid,Apples,Hobby;Contribute to open-source projects;Bootstrapping a business;Freelance/contract work,Some college/university study without earning a degree,"Books / Physical media;On the job training;Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification;Other (please specify):","Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow;Social Media;How-to videos;Video-based Online Courses;Written-based Online Courses;AI;Auditory material (e.g., podcasts)",API document(s) and/or SDK document(s);Traditional public search engine;AI-powered search/dev tool (free),13,13.0,"Developer, back-end",500 to 999 employees,I have little or no influence,Other (please specify):,Is set up to be customized and needs to be engineered into a usable product,APIs;Integrated developer community;Frequent updates to features;Connected to an open source project,Spain,EUR European Euro,50000.0,C;Dart;Go;Groovy;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Dart;Go;HTML/CSS;JavaScript;Python,Dart;Go;HTML/CSS;JavaScript;Python,MySQL;Oracle;PostgreSQL;SQLite,SQLite,SQLite,Firebase;Google Cloud;Microsoft Azure,,,Angular;AngularJS;Django;Flask;jQuery,Django;Flask;jQuery,Django;Flask;jQuery,Rasberry Pi,Rasberry Pi,Rasberry Pi,Cordova;Hugging Face Transformers;NumPy;Pandas;Qt;SwiftUI;Torch/PyTorch,Hugging Face Transformers;NumPy;Pandas;Qt,Hugging Face Transformers;NumPy;Pandas;Qt,Docker;Gradle;Homebrew;Make;Maven (build tool);npm;Pip;pnpm;Webpack;Yarn,Docker;Gradle;Homebrew;Make;npm;Pip;pnpm;Yarn,Docker;Gradle;Homebrew;Make;npm;Pip;pnpm;Yarn,Android Studio;IntelliJ IDEA;IPython;Jupyter Notebook/JupyterLab;Neovim;PyCharm;Vim;Visual Studio Code;VSCodium;Xcode,Android Studio;IntelliJ IDEA;IPython;Jupyter Notebook/JupyterLab;Neovim;PyCharm;Vim;Visual Studio Code;VSCodium,Android Studio;IntelliJ IDEA;IPython;Jupyter Notebook/JupyterLab;Neovim;PyCharm;Vim;Visual Studio Code;VSCodium,MacOS;Ubuntu,MacOS;Ubuntu,Confluence;Jira;Markdown File,Confluence;Jira;Markdown File,Confluence;Jira;Markdown File,Discord;Jitsi;Microsoft Teams;Slack;Whatsapp;Zoom,Discord;Jitsi;Slack,Discord;Jitsi;Slack,Bing AI;ChatGPT;Google Gemini;Phind,Bing AI;ChatGPT;Google Gemini;Phind,Bing AI;ChatGPT;Google Gemini;Phind,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,Quickly finding code solutions;Showcase expertise with code solutions;Engage with community by commenting on questions and answers or voting on questions and answers;Learning new-to-me technology/techniques,"Yes, definitely",Yes,Unsure,Increase productivity;Greater efficiency;Speed up learning;Improve accuracy in coding,Highly distrust,Very poor at handling complex tasks,Writing code;Debugging and getting help;Testing code;Committing and reviewing code;Search for answers,Learning about a codebase;Project planning;Documenting code,Deployment and monitoring;Predictive analytics;Generating content or synthetic data,,Committing and reviewing code;Search for answers,Writing code;Debugging and getting help;Testing code,,,I'm not sure,Other (please specify):,"AI tools lack context of codebase,  internal architecture, and/or company knowledge;Lack of proper training and education on new tools",Yes,Individual contributor,13.0,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,1-2 times a week,Never,1-2 times a week,60-120 minutes a day,30-60 minutes a day,Amount of technical debt;Complexity of tech stack for deployment;Complexity of tech stack for build,DevOps function;Automated testing;Knowledge sharing community;Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),A coworker,Software Development,0.0,0.0,0.0,80.0,100.0,100.0,100.0,0.0,0.0,Too long,Neither easy nor difficult,53703.0,5,10-20,4-6
41999,I code primarily as a hobby,Under 18 years old,"Student, full-time",Hybrid,Apples,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Other online resources (e.g., videos, blogs, forum, online community);Other (please specify):",Technical documentation;Written Tutorials;Stack Overflow,User guides or README files found in the source repository;Traditional public search engine,3,,Student,,,,,,Netherlands,,,C#;Java,HTML/CSS;JavaScript;Python,,,,,Oracle Cloud Infrastructure (OCI),Oracle Cloud Infrastructure (OCI),Oracle Cloud Infrastructure (OCI),,,,,,,,,,Gradle,Gradle,Gradle,IntelliJ IDEA;PyCharm;Rider;Visual Studio Code,IntelliJ IDEA;PyCharm;Rider,IntelliJ IDEA;PyCharm;Rider,Windows,,,,,Discord;Whatsapp,Discord;Whatsapp,Discord;Whatsapp,GitHub Copilot,,,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers,"No, not really","No, and I don't plan to",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,,6,,7-10
19012,I am a developer by profession,45-54 years old,"Employed, full-time",Remote,Apples,Hobby;Contribute to open-source projects;Professional development or self-paced learning from online courses;Freelance/contract work,Some college/university study without earning a degree,"Books / Physical media;School (i.e., University, College, etc)",,,25,16.0,"Developer, full-stack",100 to 499 employees,I have some influence,Start a free trial;Ask developers I know/work with;Read ratings or reviews on third party sites like G2 Crowd,Is ready-to-go but also customizable for growth and targeted use cases,APIs;Customization;Quality support system;Reputation for quality and excellence;Frequent updates to features,United States of America,USD	United States dollar,185000.0,Bash/Shell (all shells);Elixir;HTML/CSS;JavaScript;Lua;Ruby;SQL,Clojure;Elixir;Ruby,Elixir;Ruby,PostgreSQL;Redis;SQLite,Datomic;Firebase Realtime Database;PostgreSQL;Redis;SQLite,PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Fly.io;Netlify;Render;Vercel,Amazon Web Services (AWS);Cloudflare;Fly.io;Hetzner,Amazon Web Services (AWS);Fly.io,Htmx;Next.js;Node.js;Phoenix;React;Ruby on Rails,Htmx;Phoenix;Ruby on Rails,Htmx;Phoenix;Ruby on Rails,,,,RabbitMQ,Hugging Face Transformers,,Docker;Homebrew;npm;Terraform;Yarn,Homebrew,Homebrew,Neovim;Vim,Neovim,Neovim,MacOS,MacOS,GitHub Discussions;Jira;Markdown File;Miro;Obsidian,Markdown File;Miro;Notion;Obsidian,Markdown File;Miro;Obsidian,Discord;Slack;Zoom,Discord;Zoom,Discord;Zoom,ChatGPT;Codeium,ChatGPT;Claude;Codeium;Google Gemini,ChatGPT;Codeium,Stack Overflow,A few times per month or weekly,Yes,Less than once per month or monthly,Quickly finding code solutions;Learning new-to-me technology/techniques,Neutral,Yes,Unfavorable,Increase productivity;Greater efficiency;Speed up learning;Improve accuracy in coding,Somewhat distrust,Very poor at handling complex tasks,Writing code;Search for answers;Generating content or synthetic data,Learning about a codebase;Project planning;Documenting code;Debugging and getting help;Testing code;Deployment and monitoring;Predictive analytics,Committing and reviewing code,,,Writing code;Search for answers;Generating content or synthetic data,,,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Replacing jobs without options for new employment opportunities;Biased results that do not represent diverse viewpoints;Imitating a person's likeness;Energy demand,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge",Yes,Individual contributor,25.0,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,1-2 times a week,1-2 times a week,3-5 times a week,Less than 15 minutes a day,Less than 15 minutes a day,Amount of technical debt,Automated testing;Observability tools;AI-assisted technology tool(s);Microservices;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,Higher Education,10.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,Appropriate in length,Neither easy nor difficult,185000.0,8,10-20,7-10
58262,I am learning to code,25-34 years old,"Employed, full-time",In-person,Apples,School or academic work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Colleague;On the job training;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc)",Blogs;Books;Stack Overflow;Social Media;AI,,3,,"Developer, full-stack",,,,,,Viet Nam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Favorable,Increase productivity;Greater efficiency;Speed up learning;Improve accuracy in coding,Neither trust nor distrust,Neither good or bad at handling complex tasks,,Writing code,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,7-10
31613,I am a developer by profession,25-34 years old,"Independent contractor, freelancer, or self-employed",Hybrid,Apples,Contribute to open-source projects;Professional development or self-paced learning from online courses;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Other online resources (e.g., videos, blogs, forum, online community)",Blogs;Books;Written Tutorials;How-to videos,,7,7.0,"Developer, full-stack","Just me - I am a freelancer, sole proprietor, etc.",I have a great deal of influence,Start a free trial;Ask developers I know/work with,Is set up to be customized and needs to be engineered into a usable product,APIs;Customization;Frequent updates to features;Connected to an open source project,India,INR	Indian rupee,400000.0,HTML/CSS;Java;JavaScript;PHP;PowerShell;SQL,HTML/CSS;JavaScript;PHP;PowerShell;SQL,HTML/CSS;JavaScript;PHP;PowerShell;SQL,MariaDB;MongoDB;MySQL;SQLite,MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite,MariaDB;MongoDB;MySQL;SQLite,,,,Express;jQuery;Laravel;Node.js;Spring Boot,Express;jQuery;Laravel;Node.js;React,Express;jQuery;Laravel;Node.js,,,,,,,Composer;Docker;Maven (build tool);npm,Composer;Docker;Kubernetes;npm;Unreal Engine,Composer;Docker;npm,Eclipse;IntelliJ IDEA;Notepad++;Sublime Text;Visual Studio Code,Notepad++;PhpStorm;Sublime Text;Visual Studio Code,Notepad++;Sublime Text;Visual Studio Code,Windows;Windows Subsystem for Linux (WSL),Ubuntu,Markdown File;Obsidian,Jira;Markdown File;Obsidian,Markdown File;Obsidian,Discord;Google Meet;Microsoft Teams;Skype;Telegram;Whatsapp,Discord;Telegram;Whatsapp,Discord;Telegram;Whatsapp,ChatGPT,ChatGPT,ChatGPT,Stack Overflow,Daily or almost daily,Yes,Less than once per month or monthly,Quickly finding code solutions,"Yes, somewhat",Yes,Favorable,Increase productivity;Speed up learning,Neither trust nor distrust,"Good, but not great at handling complex tasks",Learning about a codebase;Search for answers,Project planning;Documenting code;Debugging and getting help;Testing code,Writing code;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Generating content or synthetic data,,,Learning about a codebase;Search for answers,,,Yes,Circulating misinformation or disinformation;Imitating a person's likeness,Don’t trust the output or answers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,4785.0,6,5-10,7-10
